Player,GameAdj,Game,Injury Type,Position,Season,Team
"Bombardir, Brad",121,39,Ankle,D,2001/02,Minnesota
"Brunette, Andrew",121,39,Shoulder,F,2001/02,Minnesota
"Gagné, Simon",121,39,Shoulder,F,2001/02,Philadelphia
"Hentunen, Jukka",121,39,Knee,F,2001/02,Calgary
"Johnson, Mike",121,39,Knee,F,2001/02,Phoenix
"Lapointe, Claude",121,39,Stomach,F,2001/02,NY Islanders
"Nash, Tyson",121,39,Hip,F,2001/02,St. Louis
"Poti, Tom",121,39,Finger,D,2001/02,Edmonton
"Pratt, Nolan",121,39,Leg,D,2001/02,Tampa Bay
"Schastlivy, Petr",121,39,Knee,F,2001/02,Ottawa
"Yzerman, Steve",121,39,Ankle,F,2001/02,Detroit
"Baron, Murray",122,40,Undisclosed,D,2001/02,Vancouver
"Corson, Shayne",122,40,Shoulder,F,2001/02,Toronto
"Cross, Cory",122,40,Hip,D,2001/02,Toronto
"Dahlén, Ulf",122,40,Foot,F,2001/02,Washington
"Eliáš, Patrik",122,40,Hand,F,2001/02,New Jersey
"Hackett, Jeff",122,40,Hand,G,2001/02,Montreal
"Kozlov, Vyacheslav",122,40,Achilles,F,2001/02,Buffalo
"Lachance, Scott",122,40,Knee,D,2001/02,Vancouver
"Morozov, Aleksey",122,40,Shoulder,F,2001/02,Pittsburgh
"Podein, Shjon",122,40,Knee,F,2001/02,Colorado
"Poulin, Patrick",122,40,Wrist,F,2001/02,Montreal
"Sillinger, Mike",122,40,Knee,F,2001/02,Columbus
"Tanguay, Alex",122,40,Ankle,F,2001/02,Colorado
"Thomas, Steve",122,40,Ankle,F,2001/02,Chicago
"Vishnevski, Vitaly",122,40,Ankle,D,2001/02,Anaheim
"White, Colin",122,40,Neck,D,2001/02,New Jersey
"Čiernik, Ivan",122,40,Knee,F,2001/02,Ottawa
"Belanger, Ken",123,41,Thumb,F,2001/02,Los Angeles
"Dackell, Andreas",123,41,Flu,F,2001/02,Montreal
"Foote, Adam",123,41,Knee,D,2001/02,Colorado
"Gauthier, Denis",123,41,Cheek,D,2001/02,Calgary
"Holzinger, Brian",123,41,Shoulder,F,2001/02,Tampa Bay
"Juneau, Joé",123,41,Flu,F,2001/02,Montreal
"Kallio, Tomi",123,41,Groin,F,2001/02,Atlanta
"Karlsson, Andreas",123,41,Foot,F,2001/02,Atlanta
"Larsen, Brad",123,41,Ribs,F,2001/02,Colorado
"Lindros, Eric",123,41,Concussion,F,2001/02,NY Rangers
"Lukowich, Brad",123,41,Finger,D,2001/02,Dallas
"MacInnis, Al",123,41,Back,D,2001/02,St. Louis
"Olausson, Fredrik",123,41,Respiratory,D,2001/02,Detroit
"Peluso, Mike",123,41,Flu,F,2001/02,Chicago
"Reirden, Todd",123,41,Elbow,D,2001/02,Atlanta
"Sturm, Marco",123,41,Shoulder,F,2001/02,San Jose
"Taylor, Tim",123,41,Groin,F,2001/02,Tampa Bay
"Gratton, Benoît",124,42,Ankle,F,2001/02,Montreal
"Langkow, Daymond",124,42,Toe,F,2001/02,Phoenix
"Manson, Dave",124,42,Dental,D,2001/02,Dallas
"May, Brad",124,42,Ribs,F,2001/02,Phoenix
"Primeau, Wayne",124,42,Knee,F,2001/02,Pittsburgh
"Ragnarsson, Marcus",124,42,Finger,D,2001/02,San Jose
"Tanguay, Alex",124,42,Ankle,F,2001/02,Colorado
"Webb, Steve",124,42,Hand,F,2001/02,NY Islanders
"Witt, Brendan",124,42,Arm,D,2001/02,Washington
"Berenzweig, Bubba",125,43,Thumb,D,2001/02,Nashville
"Dineen, Kevin",125,43,Groin,F,2001/02,Columbus
"Hordichuk, Darcy",125,43,Back,F,2001/02,Atlanta
"Nichol, Scott",125,43,Hip,F,2001/02,Calgary
"O'Neill, Jeff",125,43,Back,F,2001/02,Carolina
"Valk, Garry",125,43,Shoulder,F,2001/02,Toronto
"Young, Scott",125,43,Eye,F,2001/02,St. Louis
"Afinogenov, Maxim",126,44,Flu,F,2001/02,Buffalo
"Bombardir, Brad",126,44,Ankle,D,2001/02,Minnesota
"Bondra, Peter",126,44,Flu,F,2001/02,Washington
"Bure, Pavel",126,44,Hand,F,2001/02,Florida
"Herperger, Chris",126,44,Knee,F,2001/02,Ottawa
"Kallio, Tomi",126,44,Groin,F,2001/02,Atlanta
"Kilger, Chad",126,44,Neck,F,2001/02,Montreal
"Laukkanen, Janne",126,44,Illness,D,2001/02,Pittsburgh
"McKay, Randy",126,44,Hip,F,2001/02,New Jersey
"Messier, Mark",126,44,Shoulder,F,2001/02,NY Rangers
"Mironov, Boris",126,44,Abdominal,D,2001/02,Chicago
"Niedermayer, Rob",126,44,Knee,F,2001/02,Calgary
"Rachůnek, Karel",126,44,Foot,D,2001/02,Ottawa
"Sutton, Andy",126,44,Groin,D,2001/02,Minnesota
"Walker, Scott",126,44,Concussion,F,2001/02,Nashville
"Warrener, Rhett",126,44,Wrist,D,2001/02,Buffalo
"Yelle, Stéphane",126,44,Knee,F,2001/02,Colorado
"Burke, Sean",127,45,Groin,G,2001/02,Phoenix
"Daniels, Jeff",127,45,Groin,F,2001/02,Carolina
"Hinote, Dan",127,45,Heel,F,2001/02,Colorado
"Jágr, Jaromír",127,45,Groin,F,2001/02,Washington
"Keefe, Sheldon",127,45,Knee,F,2001/02,Tampa Bay
"Purinton, Dale",127,45,Ribs,D,2001/02,NY Rangers
"Rhodes, Damian",127,45,Groin,G,2001/02,Atlanta
"Sacco, Joe",127,45,Flu,F,2001/02,Washington
"Sweeney, Don",127,45,Flu,D,2001/02,Boston
"Traverse, Patrick",127,45,Concussion,D,2001/02,Montreal
"York, Jason",127,45,Shoulder,D,2001/02,Anaheim
"Ölvestad, Jimmie",127,45,Concussion,F,2001/02,Tampa Bay
"Chára, Zdeno",128,46,Shoulder,D,2001/02,Ottawa
"Handzuš, Michal",128,46,Groin,F,2001/02,Phoenix
"Odelein, Lyle",128,46,Back,D,2001/02,Columbus
"Parrish, Mark",128,46,Ribs,F,2001/02,NY Islanders
"Roberts, Gary",128,46,Eye,F,2001/02,Toronto
"Taylor, Tim",128,46,Groin,F,2001/02,Tampa Bay
"Bélanger, Éric",129,47,Wrist,F,2001/02,Los Angeles
"Calder, Kyle",129,47,Head,F,2001/02,Chicago
"Dineen, Kevin",129,47,Groin,F,2001/02,Columbus
"Heins, Shawn",129,47,Jaw,D,2001/02,San Jose
"Hossa, Marcel",129,47,Wrist,F,2001/02,Montreal
"McAlpine, Chris",129,47,Elbow,D,2001/02,Chicago
"Mogilny, Alexander",129,47,Back,F,2001/02,Toronto
"Savage, Brian",129,47,Wrist,F,2001/02,Montreal
"White, Todd",129,47,Concussion,F,2001/02,Ottawa
"Boucher, Philippe",130,48,Concussion,D,2001/02,Los Angeles
"Bégin, Steve",130,48,Shoulder,F,2001/02,Calgary
"Karpa, Dave",130,48,Wrist,D,2001/02,NY Rangers
"Karpovtsev, Alexander",130,48,Ribs,D,2001/02,Chicago
"Kolanos, Krys",130,48,Concussion,F,2001/02,Phoenix
"McGillis, Dan",130,48,Back,D,2001/02,Philadelphia
"Messier, Éric",130,48,Knee,F,2001/02,Colorado
"Osgood, Chris",130,48,Wrist,G,2001/02,NY Islanders
"Purinton, Dale",130,48,Ribs,D,2001/02,NY Rangers
"Reinprecht, Steve",130,48,Knee,F,2001/02,Colorado
"Brisebois, Patrice",131,49,Foot,D,2001/02,Montreal
"Cairns, Eric",131,49,Ribs,D,2001/02,NY Islanders
"Clark, Chris",131,49,Knee,F,2001/02,Calgary
"Friesen, Jeff",131,49,Ankle,F,2001/02,Anaheim
"Halpern, Jeff",131,49,Knee,F,2001/02,Washington
"Johansson, Andreas",131,49,Wrist,F,2001/02,NY Rangers
"Jönsson, Kenny",131,49,Flu,D,2001/02,NY Islanders
"Klee, Ken",131,49,Groin,D,2001/02,Washington
"Kraft, Milan",131,49,Illness,F,2001/02,Pittsburgh
"Laus, Paul",131,49,Wrist,D,2001/02,Florida
"McAmmond, Dean",131,49,Back,F,2001/02,Calgary
"Nolan, Owen",131,49,Back,F,2001/02,San Jose
"Pandolfo, Jay",131,49,Hip,F,2001/02,New Jersey
"Richer, Stéphane",131,49,Neck,F,2001/02,Pittsburgh
"Tenkrát, Petr",131,49,Hip,F,2001/02,Nashville
"Vašíček, Josef",131,49,Knee,F,2001/02,Carolina
"Cowan, Jeff",132,50,Hand,F,2001/02,Atlanta
"Hossa, Marcel",132,50,Wrist,F,2001/02,Montreal
"Hrdina, Jan",132,50,Back,F,2001/02,Pittsburgh
"Johnson, Craig",132,50,Eye,F,2001/02,Los Angeles
"McKee, Jay",132,50,Flu,D,2001/02,Buffalo
"Mitchell, Willie",132,50,Wrist,D,2001/02,Minnesota
"Rathje, Mike",132,50,Knee,D,2001/02,San Jose
"Smolinski, Bryan",132,50,Flu,F,2001/02,Los Angeles
"St. Louis, Martin",132,50,Leg,F,2001/02,Tampa Bay
"White, Colin",132,50,Neck,D,2001/02,New Jersey
"Donovan, Shean",133,51,Heel,F,2001/02,Atlanta
"Fortin, Jean-François",133,51,Undisclosed,D,2001/02,Washington
"Jonsson, Hans",133,51,Finger,D,2001/02,Pittsburgh
"Klesla, Rostislav",133,51,Shoulder,D,2001/02,Columbus
"Laraque, Georges",133,51,Wrist,F,2001/02,Edmonton
"McAmmond, Dean",133,51,Back,F,2001/02,Calgary
"Rafalski, Brian",133,51,Knee,D,2001/02,New Jersey
"Rasmussen, Erik",133,51,Shoulder,F,2001/02,Buffalo
"Roberts, Gary",133,51,Back,F,2001/02,Toronto
"Sturm, Marco",133,51,Flu,F,2001/02,San Jose
"Výborný, David",133,51,Knee,F,2001/02,Columbus
"Westlund, Tommy",133,51,Back,F,2001/02,Carolina
"Čechmánek, Roman",133,51,Flu,G,2001/02,Philadelphia
"Aubin, Serge",134,52,Concussion,F,2001/02,Columbus
"Brown, Brad",134,52,Knee,D,2001/02,Minnesota
"Cloutier, Dan",134,52,Ankle,G,2001/02,Vancouver
"Dopita, Jiří",134,52,Neck,F,2001/02,Philadelphia
"Jönsson, Kenny",134,52,Neck,D,2001/02,NY Islanders
"Lang, Robert",134,52,Mouth,F,2001/02,Pittsburgh
"Modin, Fredrik",134,52,Wrist,F,2001/02,Tampa Bay
"Podein, Shjon",134,52,Knee,F,2001/02,Colorado
"Sullivan, Mike",134,52,Groin,F,2001/02,Phoenix
"Wilm, Clarke",134,52,Eye,F,2001/02,Calgary
"Zubrus, Dainius",134,52,Foot,F,2001/02,Washington
"Brewer, Eric",135,53,Shoulder,D,2001/02,Edmonton
"Green, Josh",135,53,Hand,F,2001/02,Edmonton
"Lehtinen, Jere",135,53,Knee,F,2001/02,Dallas
"MacInnis, Al",135,53,Foot,D,2001/02,St. Louis
"Schneider, Mathieu",135,53,Shoulder,D,2001/02,Los Angeles
"Yzerman, Steve",135,53,Knee,F,2001/02,Detroit
"Havlát, Martin",136,54,Groin,F,2001/02,Ottawa
"Hentunen, Jukka",136,54,Flu,F,2001/02,Calgary
"Hnidy, Shane",136,54,Shoulder,D,2001/02,Ottawa
"Knutsen, Espen",136,54,Flu,F,2001/02,Columbus
"Lindros, Eric",136,54,Knee,F,2001/02,NY Rangers
"Mogilny, Alexander",136,54,Back,F,2001/02,Toronto
"Pittis, Domenic",136,54,Groin,F,2001/02,Edmonton
"Stevenson, Jeremy",136,54,Chest,F,2001/02,Nashville
"Blouin, Sylvain",137,55,Thumb,F,2001/02,Minnesota
"Gélinas, Martin",137,55,Concussion,F,2001/02,Carolina
"Harkins, Brett",137,55,Foot,F,2001/02,Columbus
"Hedican, Bret",137,55,Back,D,2001/02,Carolina
"Hossa, Marián",137,55,Knee,F,2001/02,Ottawa
"Legwand, David",137,55,Back,F,2001/02,Nashville
"Modrý, Jaroslav",137,55,Hip,D,2001/02,Los Angeles
"Nieuwendyk, Joe",137,55,Flu,F,2001/02,Dallas
"Parker, Scott",137,55,Thumb,F,2001/02,Colorado
"Tanguay, Alex",137,55,Hip,F,2001/02,Colorado
"Taylor, Tim",137,55,Groin,F,2001/02,Tampa Bay
"Baron, Murray",138,56,Hand,D,2001/02,Vancouver
"Lapointe, Martin",138,56,Hamstring,F,2001/02,Boston
"Leschyshyn, Curtis",138,56,Flu,D,2001/02,Ottawa
"Malakhov, Vladimir",138,56,Flu,D,2001/02,NY Rangers
"Peat, Stephen",138,56,Groin,F,2001/02,Washington
"Reekie, Joe",138,56,Foot,D,2001/02,Chicago
"Roy, André",138,56,Ankle,F,2001/02,Ottawa
"Salvador, Bryce",138,56,Chest,D,2001/02,St. Louis
"Yushkevich, Dmitry",138,56,Blood clots,D,2001/02,Toronto
"Barrasso, Tom",139,57,Groin,G,2001/02,Carolina
"Fisher, Mike",139,57,Shoulder,F,2001/02,Ottawa
"Nemchinov, Sergei",139,57,Back,F,2001/02,New Jersey
"Pederson, Denis",139,57,Sternum,F,2001/02,Phoenix
"Quint, Deron",139,57,Thigh,D,2001/02,Columbus
"Reasoner, Marty",139,57,Knee,F,2001/02,Edmonton
"Schultz, Nick",139,57,Shoulder,D,2001/02,Minnesota
"Stock, P.J.",139,57,Facial,F,2001/02,Boston
"Sýkora, Petr",139,57,Ribs,F,2001/02,New Jersey
"Cullimore, Jassen",140,58,Thigh,D,2001/02,Tampa Bay
"Johnson, Matt",140,58,Foot,F,2001/02,Minnesota
"Kozlov, Viktor",140,58,Abdominal,F,2001/02,Florida
"Kvasha, Oleg",140,58,Knee,F,2001/02,NY Islanders
"Kölzig, Olaf",140,58,Knee,G,2001/02,Washington
"Lecavalier, Vincent",140,58,Ankle,F,2001/02,Tampa Bay
"Rohloff, Todd",140,58,Wrist,D,2001/02,Washington
"Staios, Steve",140,58,Groin,D,2001/02,Edmonton
"Čiernik, Ivan",140,58,Shoulder,F,2001/02,Washington
"Bombardir, Brad",141,59,Ankle,D,2001/02,Minnesota
"Isbister, Brad",141,59,Back,F,2001/02,NY Islanders
"Kuba, Filip",141,59,Hand,D,2001/02,Minnesota
"Ledyard, Grant",141,59,Knee,D,2001/02,Tampa Bay
"Melichar, Josef",141,59,Shoulder,D,2001/02,Pittsburgh
"Tkachuk, Keith",141,59,Thigh,F,2001/02,St. Louis
"Whitney, Ray",141,59,Back,F,2001/02,Columbus
"Blake, Rob",142,60,Flu,D,2001/02,Colorado
"Bondra, Peter",142,60,Flu,F,2001/02,Washington
"Dwyer, Gordie",142,60,Shoulder,F,2001/02,Tampa Bay
"Hackett, Jeff",142,60,Hand,G,2001/02,Montreal
"Hahl, Riku",142,60,Ankle,F,2001/02,Colorado
"Hentunen, Jukka",142,60,Knee,F,2001/02,Calgary
"Joseph, Curtis",142,60,Hand,G,2001/02,Toronto
"Klatt, Trent",142,60,Abdominal,F,2001/02,Vancouver
"Lemieux, Mario",142,60,Hip,F,2001/02,Pittsburgh
"Messier, Mark",142,60,Shoulder,F,2001/02,NY Rangers
"Nichol, Scott",142,60,Wrist,F,2001/02,Calgary
"Straka, Martin",142,60,Eye,F,2001/02,Pittsburgh
"Tetarenko, Joey",142,60,Eye,F,2001/02,Florida
"Šmehlík, Richard",142,60,Shoulder,D,2001/02,Buffalo
"Brind'Amour, Rod",143,61,Eye,F,2001/02,Carolina
"Datsyuk, Pavel",143,61,Flu,F,2001/02,Detroit
"Fedotenko, Ruslan",143,61,Knee,F,2001/02,Philadelphia
"Juneau, Joé",143,61,Back,F,2001/02,Montreal
"Kapanen, Sami",143,61,Hand,F,2001/02,Carolina
"Niedermayer, Scott",143,61,Neck,D,2001/02,New Jersey
"Sullivan, Mike",143,61,Ribs,F,2001/02,Phoenix
"Taylor, Tim",143,61,Groin,F,2001/02,Tampa Bay
"Walz, Wes",143,61,Shoulder,F,2001/02,Minnesota
"Weight, Doug",143,61,Knee,F,2001/02,St. Louis
"Yzerman, Steve",143,61,Knee,F,2001/02,Detroit
"Zhamnov, Alexei",143,61,Hip,F,2001/02,Chicago
"Zyuzin, Andrei",143,61,Ankle,D,2001/02,New Jersey
"Čechmánek, Roman",143,61,Ankle,G,2001/02,Philadelphia
"Belak, Wade",144,62,Leg,F,2001/02,Toronto
"Blake, Rob",144,62,Knee,D,2001/02,Colorado
"Bondra, Peter",144,62,Flu,F,2001/02,Washington
"Brathwaite, Fred",144,62,Dental,G,2001/02,St. Louis
"Corso, Daniel",144,62,Shoulder,F,2001/02,St. Louis
"Hannan, Scott",144,62,Knee,D,2001/02,San Jose
"Kaberle, František",144,62,Hamstring,D,2001/02,Atlanta
"Larionov, Igor",144,62,Knee,F,2001/02,Detroit
"Ledyard, Grant",144,62,Ankle,D,2001/02,Tampa Bay
"Martins, Steve",144,62,Knee,F,2001/02,Ottawa
"Országh, Vladimír",144,62,Charley horse,F,2001/02,Nashville
"Pittis, Domenic",144,62,Concussion,F,2001/02,Edmonton
"Primeau, Keith",144,62,Ribs,F,2001/02,Philadelphia
"Ricci, Mike",144,62,Back,F,2001/02,San Jose
"Zubrus, Dainius",144,62,Hand,F,2001/02,Washington
"Chouinard, Marc",145,63,Shoulder,F,2001/02,Anaheim
"Chubarov, Artem",145,63,Hand,F,2001/02,Vancouver
"Hejduk, Milan",145,63,Abdominal,F,2001/02,Colorado
"Hurme, Jani",145,63,Groin,G,2001/02,Ottawa
"Knuble, Mike",145,63,Back,F,2001/02,Boston
"Kron, Robert",145,63,Foot,F,2001/02,Columbus
"Lowry, Dave",145,63,Shoulder,F,2001/02,Calgary
"Mara, Paul",145,63,Foot,D,2001/02,Phoenix
"McCarty, Darren",145,63,Finger,F,2001/02,Detroit
"McDonald, Andy",145,63,Concussion,F,2001/02,Anaheim
"Zamuner, Rob",145,63,Hip,F,2001/02,Boston
"Bartečko, Ľuboš",146,64,Heel,F,2001/02,Atlanta
"Classen, Greg",146,64,Concussion,F,2001/02,Nashville
"Denis, Marc",146,64,Groin,G,2001/02,Columbus
"Donato, Ted",146,64,Flu,F,2001/02,St. Louis
"Erskine, John",146,64,Foot,D,2001/02,Dallas
"Fisher, Mike",146,64,Shoulder,F,2001/02,Ottawa
"Lang, Robert",146,64,Hand,F,2001/02,Pittsburgh
"Niedermayer, Rob",146,64,Flu,F,2001/02,Calgary
"Rachůnek, Karel",146,64,Shoulder,D,2001/02,Ottawa
"Renberg, Mikael",146,64,Hamstring,F,2001/02,Toronto
"Zhamnov, Alexei",146,64,Hip,F,2001/02,Chicago
"Lapointe, Martin",147,65,Hamstring,F,2001/02,Boston
"Norton, Brad",147,65,Back,D,2001/02,Florida
"Ricci, Mike",147,65,Shoulder,F,2001/02,San Jose
"Salo, Sami",147,65,Back,D,2001/02,Ottawa
"Straka, Martin",147,65,Ankle,F,2001/02,Pittsburgh
"Thornton, Joe",147,65,Shoulder,F,2001/02,Boston
"Vrbata, Radim",147,65,Flu,F,2001/02,Colorado
"Arnott, Jason",148,66,Back,F,2001/02,New Jersey
"Boughner, Bob",148,66,Groin,D,2001/02,Calgary
"Buchberger, Kelly",148,66,Ankle,F,2001/02,Los Angeles
"Cassels, Andrew",148,66,Concussion,F,2001/02,Vancouver
"Harvey, Todd",148,66,Shoulder,F,2001/02,San Jose
"Hinote, Dan",148,66,Shoulder,F,2001/02,Colorado
"Hulse, Cale",148,66,Knee,D,2001/02,Nashville
"Norton, Jeff",148,66,Back,D,2001/02,Florida
"Olausson, Fredrik",148,66,Flu,D,2001/02,Detroit
"Thornton, Scott",148,66,Wrist,F,2001/02,San Jose
"Tremblay, Yannick",148,66,Groin,D,2001/02,Atlanta
"Turgeon, Pierre",148,66,Shoulder,F,2001/02,Dallas
"Wilm, Clarke",148,66,Ankle,F,2001/02,Calgary
"Aubin, Serge",149,67,Flu,F,2001/02,Columbus
"Bombardir, Brad",149,67,Ankle,D,2001/02,Minnesota
"Cross, Cory",149,67,Groin,D,2001/02,Toronto
"Grošek, Michal",149,67,Flu,F,2001/02,NY Rangers
"Kovalchuk, Ilya",149,67,Shoulder,F,2001/02,Atlanta
"Lindros, Eric",149,67,Foot,F,2001/02,NY Rangers
"Mironov, Boris",149,67,Shoulder,D,2001/02,Chicago
"Odjick, Gino",149,67,Foot,F,2001/02,Montreal
"Påhlsson, Samuel",149,67,Flu,F,2001/02,Anaheim
"Ward, Lance",149,67,Concussion,D,2001/02,Florida
"Burke, Sean",150,68,Groin,G,2001/02,Phoenix
"Buzek, Petr",150,68,Knee,D,2001/02,Calgary
"Clark, Chris",150,68,Ribs,F,2001/02,Calgary
"Reirden, Todd",150,68,Head,D,2001/02,Atlanta
"Ward, Aaron",150,68,Arm,D,2001/02,Carolina
"York, Mike",150,68,Flu,F,2001/02,NY Rangers
"Žoltoks, Sergejs",150,68,Shoulder,F,2001/02,Minnesota
"Barnes, Stu",151,69,Concussion,F,2001/02,Buffalo
"Berg, Aki",151,69,Flu,D,2001/02,Toronto
"Bure, Valeri",151,69,Knee,F,2001/02,Florida
"Commodore, Mike",151,69,Flu,D,2001/02,New Jersey
"Doan, Shane",151,69,Ankle,F,2001/02,Phoenix
"Dvořák, Radek",151,69,Knee,F,2001/02,NY Rangers
"Eliáš, Patrik",151,69,Flu,F,2001/02,New Jersey
"Foote, Adam",151,69,Finger,D,2001/02,Colorado
"Kultanen, Jarno",151,69,Knee,D,2001/02,Boston
"Lehtinen, Jere",151,69,Ankle,F,2001/02,Dallas
"McKenzie, Jim",151,69,Flu,F,2001/02,New Jersey
"Primeau, Keith",151,69,Ribs,F,2001/02,Philadelphia
"Ray, Rob",151,69,Ankle,F,2001/02,Buffalo
"Roenick, Jeremy",151,69,Knee,F,2001/02,Philadelphia
"Sýkora, Petr",151,69,Flu,F,2001/02,New Jersey
"Väänänen, Ossi",151,69,Shoulder,D,2001/02,Phoenix
"Yachmenev, Vitali",151,69,Back,F,2001/02,Nashville
"Yelle, Stéphane",151,69,Shoulder,F,2001/02,Colorado
"Boughner, Bob",152,70,Charley horse,D,2001/02,Calgary
"Côté, Sylvain",152,70,Back,D,2001/02,Washington
"Havlát, Martin",152,70,Groin,F,2001/02,Ottawa
"Johnson, Craig",152,70,Eye,F,2001/02,Los Angeles
"Kjellberg, Patric",152,70,Neck,F,2001/02,Anaheim
"Luongo, Roberto",152,70,Ankle,G,2001/02,Florida
"Matteau, Stéphane",152,70,Concussion,F,2001/02,San Jose
"Olausson, Fredrik",152,70,Hip,D,2001/02,Detroit
"Pederson, Denis",152,70,Hip,F,2001/02,Phoenix
"Skrbek, Pavel",152,70,Concussion,D,2001/02,Nashville
"Tetarenko, Joey",152,70,Back,F,2001/02,Florida
"Bell, Mark",153,71,Hip,F,2001/02,Chicago
"Dopita, Jiří",153,71,Knee,F,2001/02,Philadelphia
"Neil, Chris",153,71,Hip,F,2001/02,Ottawa
"O'Donnell, Sean",153,71,Back,D,2001/02,Boston
"Reichel, Robert",153,71,Back,F,2001/02,Toronto
"Sturm, Marco",153,71,Hand,F,2001/02,San Jose
"Wilm, Clarke",153,71,Ankle,F,2001/02,Calgary
"Bradley, Matt",154,72,Back,F,2001/02,San Jose
"Chára, Zdeno",154,72,Flu,D,2001/02,Ottawa
"Gavey, Aaron",154,72,Flu,F,2001/02,Minnesota
"Gonchar, Sergei",154,72,Concussion,D,2001/02,Washington
"Hnilička, Milan",154,72,Concussion,G,2001/02,Atlanta
"Hurme, Jani",154,72,Flu,G,2001/02,Ottawa
"Juneau, Joé",154,72,Back,F,2001/02,Montreal
"Lang, Robert",154,72,Hand,F,2001/02,Pittsburgh
"Lapointe, Martin",154,72,Hamstring,F,2001/02,Boston
"Manderville, Kent",154,72,Ankle,F,2001/02,Pittsburgh
"Muckalt, Bill",154,72,Flu,F,2001/02,Ottawa
"Nolan, Owen",154,72,Charley horse,F,2001/02,San Jose
"Renberg, Mikael",154,72,Hamstring,F,2001/02,Toronto
"Sullivan, Steve",154,72,Shoulder,F,2001/02,Chicago
"Sundström, Niklas",154,72,Knee,F,2001/02,San Jose
"Corkum, Bob",155,73,Flu,F,2001/02,Buffalo
"Hull, Jody",155,73,Shoulder,F,2001/02,Ottawa
"Knutsen, Espen",155,73,Knee,F,2001/02,Columbus
"Kron, Robert",155,73,Ankle,F,2001/02,Columbus
"Lukowich, Brad",155,73,Concussion,D,2001/02,Dallas
"Markov, Danny",155,73,Foot,D,2001/02,Phoenix
"Pothier, Brian",155,73,Concussion,D,2001/02,Atlanta
"Reinprecht, Steve",155,73,Foot,F,2001/02,Colorado
"Roberts, Gary",155,73,Ribs,F,2001/02,Toronto
"Salo, Sami",155,73,Back,D,2001/02,Ottawa
"Savard, Marc",155,73,Concussion,F,2001/02,Calgary
"Tärnström, Dick",155,73,Wrist,D,2001/02,NY Islanders
"Webb, Steve",155,73,Concussion,F,2001/02,NY Islanders
"Aubin, Serge",156,74,Mouth,F,2001/02,Columbus
"Aucoin, Adrian",156,74,Heel,D,2001/02,NY Islanders
"Bates, Shawn",156,74,Groin,F,2001/02,NY Islanders
"Belfour, Ed",156,74,Back,G,2001/02,Dallas
"Daniels, Jeff",156,74,Concussion,F,2001/02,Carolina
"Dingman, Chris",156,74,Back,F,2001/02,Tampa Bay
"Langdon, Darren",156,74,Shoulder,F,2001/02,Carolina
"Lydman, Toni",156,74,Flu,D,2001/02,Calgary
"Murray, Marty",156,74,Ribs,F,2001/02,Philadelphia
"Neil, Chris",156,74,Hip,F,2001/02,Ottawa
"Persson, Ricard",156,74,Leg,D,2001/02,Ottawa
"Piroš, Kamil",156,74,Knee,F,2001/02,Atlanta
"Richter, Mike",156,74,Head,G,2001/02,NY Rangers
"Salvador, Bryce",156,74,Concussion,D,2001/02,St. Louis
"Tocchet, Rick",156,74,Knee,F,2001/02,Philadelphia
"Tverdovsky, Oleg",156,74,Groin,D,2001/02,Anaheim
"Dineen, Kevin",157,75,Ribs,F,2001/02,Columbus
"Duchesne, Steve",157,75,Shoulder,D,2001/02,Detroit
"Hašek, Dominik",157,75,Back,G,2001/02,Detroit
"Klee, Ken",157,75,Foot,D,2001/02,Washington
"Kučera, František",157,75,Shoulder,D,2001/02,Washington
"Laukkanen, Janne",157,75,Knee,D,2001/02,Pittsburgh
"Lidström, Nicklas",157,75,Groin,D,2001/02,Detroit
"Lumme, Jyrki",157,75,Shoulder,D,2001/02,Toronto
"Neckář, Stanislav",157,75,Hip,D,2001/02,Tampa Bay
"Novoseltsev, Ivan",157,75,Back,F,2001/02,Florida
"Shanahan, Brendan",157,75,Wrist,F,2001/02,Detroit
"Stümpel, Jozef",157,75,Hamstring,F,2001/02,Boston
"Thomas, Steve",157,75,Flu,F,2001/02,Chicago
"Barrasso, Tom",158,76,Hamstring,G,2001/02,Toronto
"Bombardir, Brad",158,76,Ankle,D,2001/02,Minnesota
"Chelios, Chris",158,76,Hip,D,2001/02,Detroit
"Corson, Shayne",158,76,Knee,F,2001/02,Toronto
"Havlát, Martin",158,76,Groin,F,2001/02,Ottawa
"Hrdina, Jan",158,76,Flu,F,2001/02,Pittsburgh
"Karpovtsev, Alexander",158,76,Knee,D,2001/02,Chicago
"Keane, Mike",158,76,Back,F,2001/02,Colorado
"Lefebvre, Sylvain",158,76,Knee,D,2001/02,NY Rangers
"Legwand, David",158,76,Back,F,2001/02,Nashville
"Verbeek, Pat",158,76,Groin,F,2001/02,Dallas
"Beaudoin, Eric",159,77,Concussion,F,2001/02,Florida
"Bégin, Steve",159,77,Concussion,F,2001/02,Calgary
"Campbell, Brian",159,77,Shoulder,D,2001/02,Buffalo
"Dumont, J.P.",159,77,Collarbone,F,2001/02,Buffalo
"Gauthier, Denis",159,77,Shoulder,D,2001/02,Calgary
"Gomez, Scott",159,77,Hand,F,2001/02,New Jersey
"Hendrickson, Darby",159,77,Eye,F,2001/02,Minnesota
"Hentunen, Jukka",159,77,Knee,D,2001/02,Nashville
"Langfeld, Josh",159,77,Concussion,F,2001/02,Ottawa
